Name,District,Town,Address,latitude,longitude,Date,Cancelled,Registered,Store
Choppies Bobonong,Central,Bobonong,"Moilamba Ward,Cash Bazaar building",-21.9682756,28.42202247,12/09/2012,,Y,choppies
Choppies Letlhakane,Central,Letlhakane,"Nkosho Ward,Letlhakane",-21.4126823,25.5782692,12/10/2007,,Y,choppies
Choppies Mahalapye,Central,Mahalapye,"Plot 6042, Main Mall, Mahalapye",-23.1109932,26.834141,13/01/2012,,Y,choppies
Choppies Mahalapye,Central,Mahalapye,"Watershed Mall, A1,  Mahalapye",-23.09589476,26.84498004,,,Y,choppies
Choppies Superstore-Ilala Mall Mahalapye,Central,Mahalapye,"Flowertown Mall,Mahalapye",,,17/02/2012,,Y,choppies
Choppies Palapye,Central,Palapye,"Makwapa complex,Serorome Ward,Palapye",-22.54030942,27.08906423,01/08/2005,,Y,choppies
Choppies Hyper Store Riverview Mall-Palapye,Central,Palapye,"Riverview Mall, A1, Palapye, Botswana",-22.54246685,27.08722929,24/11/2020,,Y,choppies
Choppies Phikwe,Central,Phikwe,"Main Mall,Borakanelo road, Phikwe",-21.97564195,27.8373371,16/12/2010,,Y,choppies
Choppies Phikwe,Central,Phikwe,"Phikwe Square,Tshekedi Road, Phikwe",-21.97556068,27.84342362,17/01/2006,,Y,choppies
Choppies Serowe,Central,Serowe,"Botalaote Shopping Complex,Botalaote Ward,Serowe",-22.40958,26.71986113,14/02/2005,,Y,choppies
Choppies Super Store - Serowe CBD,Central,Serowe,Serowe CBD,-22.38802906,26.70425421,09/04/2010,,Y,choppies
Choppies Shoshong,Central,Shoshong,"Bokaa Ward,Shoshong",-23.03924658,26.51531338,08/07/2012,,Y,choppies
Choppies Super Store Sebina,Central,Sebina, Plot No 2737 Sebina,-20.82557624,27.21312029,28/10/2021,,Y,choppies
Choppies Super Store Tonota,Central,Tonota,"Tribal Lot 4601, Shashe Way, Tonota, Botswana",-21.4330163,27.46947887,29/10/2012,,Y,choppies
Choppies Super Store - Tutume,Central,Tutume,"Plot 17, Tutume Central, Tutume",-20.48985448,27.03992398,08/09/2011,,Y,choppies
Choppies Kasane,Chobe,Kasane,"Waterfront Mall,Kasane",-17.8002773,25.14998574,16/03/2006,,Y,choppies
Choppies Ghanzi,Ghanzi,Ghanzi,"Plot 30 & 31, Opposite Kalahari Arms Hotel",-21.69411723,21.64915276,12/09/2012,,Y,choppies
Choppies Mochudi,Kgatleng,Mochudi,"Rampedi Ward,Mochudi",-24.39330048,26.14118071,18/12/2003,,Y,choppies
Choppies Mochudi Bus Rank,Kgatleng,Mochudi,"Bus Rank,Plot 2081, Dichibidu Ward",,,11/09/2014,,Y,choppies
Choppies Super Store - Pilane,kgatleng,Pilane,"Lot 439, Pilane Shopping Centre, Pilane",-24.3980891,26.08081704,20/06/2018,,Y,choppies
Choppies Gabane Junction,Kweneng,Gabane,"Plot 198 & 199, Gabane Junction",-24.65318189,25.80310849,20-Oct-11,,Y,choppies
Choppies Gabane,Kweneng,Gabane,"Lot 62, Gabane",-24.66117737,25.78993348,17-Feb-12,,Y,choppies
