Year,Quarter,ADSL ,Mobile 
2011,Q1,14082,189803
2011,Q2,14419,200198
2011,Q3,14474,224474
2011,Q4,15707,238942
2012,Q1,16298,263131
2012,Q2,17204,294548
2012,Q3,18166,509926
2012,Q4,18838,769805
2013,Q1,19388,958074
2013,Q2,23224,1098523
2013,Q3,25309,1259561
2013,Q4,27819,1444207
2014,Q1,22740,1655921
2014,Q2,24800,1898671
2014,Q3,26836,2177007
2014,Q4,27867,2496146
2015,Q1,34435,1188640
2015,Q2,35641,1245994
2015,Q3,36272,1295663
2015,Q4,36845,1384146
2016,Q1,37366,1360236
2016,Q2,38622,1272521
2016,Q3,39174,1340549
2016,Q4,41833,1409274
2017,Q1,45793,1404065
2017,Q2,46191,1388359
2017,Q3,48811,1294764
2017,Q4,48901,1532954
2018,Q1,50514,1523545
2018,Q2,53057,1605727
2018,Q3,54687,1630364
2018,Q4,55390,1749059
2019,Q1,55565,1752547
2019,Q2,60944,1818007
2019,Q3,61271,1896424
2019,Q4,62058,1965456
2020,Q1,55592,2037359
2020,Q2,62758,2055764
2020,Q3,66647,2093386
2020,Q4,77353,2240166
2021,Q1,82826,2273363
2021,Q2,82946,2197671
2021,Q3,97395,2374865
2021,Q4,101915,2455623
